Year_Start,Year_End,Level,Dependency,Class,Annual_Max,Subsidized_Cap
1995,2006,Undergraduate,Dependent,Freshman,2625,2625
1995,2006,Undergraduate,Dependent,Sophomore,3500,2625
1995,2006,Undergraduate,Dependent,Junior+,5500,4000
1995,2006,Undergraduate,Independent,Freshman,6625,2625
1995,2006,Undergraduate,Independent,Sophomore,7500,2625
1995,2006,Undergraduate,Independent,Junior+,10500,4000
1995,2006,Graduate,Independent,Any,18500,8500
2007,2007,Undergraduate,Dependent,Freshman,3500,3500
2007,2007,Undergraduate,Dependent,Sophomore,4500,4500
2007,2007,Undergraduate,Dependent,Junior+,5500,5500
2007,2007,Undergraduate,Independent,Freshman,7500,3500
2007,2007,Undergraduate,Independent,Sophomore,8500,4500
2007,2007,Undergraduate,Independent,Junior+,10500,5500
2007,2007,Graduate,Independent,Any,20500,8500
2008,2025,Undergraduate,Dependent,Freshman,5500,3500
2008,2025,Undergraduate,Dependent,Sophomore,6500,4500
2008,2025,Undergraduate,Dependent,Junior+,7500,5500
2008,2025,Undergraduate,Independent,Freshman,9500,3500
2008,2025,Undergraduate,Independent,Sophomore,10500,4500
2008,2025,Undergraduate,Independent,Junior+,12500,5500
2008,2025,Graduate,Independent,Any,20500,0
